definition.cve,asset.name,severity,definition.cvss3.base_score,definition.description
CVE-2023-2002; CVE-2023-23000; CVE-2023-3006; CVE-2023-34256; CVE-2023-39197; CVE-2023-4132; CVE-2023-46838; CVE-2023-51781; CVE-2023-6121; CVE-2024-0775; CVE-2024-1086; CVE-2024-24855,na1devmnipsg01.dev.tibco.com,High,7.8,"The remote Ubuntu 16.04 LTS / 18.04 LTS host has a package installed that is affected by multiple vulnerabilities as referenced in the USN-6701-1 advisory.

    Ruihan Li discovered that the bluetooth subsystem in the Linux kernel did not properly perform permissions     checks when handling HCI sockets. A physically proximate attacker could use this to cause a denial of     service (bluetooth communication). (CVE-2023-2002)

    It was discovered that the NVIDIA Tegra XUSB pad controller driver in the Linux kernel did not properly     handle return values in certain error conditions. A local attacker could use this to cause a denial of     service (system crash). (CVE-2023-23000)

    It was discovered that Spectre-BHB mitigations were missing for Ampere processors. A local attacker could     potentially use this to expose sensitive information. (CVE-2023-3006)

    It was discovered that the ext4 file system implementation in the Linux kernel did not properly handle     block device modification while it is mounted. A privileged attacker could use this to cause a denial of     service (system crash) or possibly expose sensitive information. (CVE-2023-34256)

    Eric Dumazet discovered that the netfilter subsystem in the Linux kernel did not properly handle DCCP     conntrack buffers in certain situations; leading to an out-of-bounds read vulnerability. An attacker could     possibly use this to expose sensitive information (kernel memory). (CVE-2023-39197)

    It was discovered that the Siano USB MDTV receiver device driver in the Linux kernel did not properly     handle device initialization failures in certain situations; leading to a use-after-free vulnerability. A     physically proximate attacker could use this cause a denial of service (system crash). (CVE-2023-4132)

    Pratyush Yadav discovered that the Xen network backend implementation in the Linux kernel did not properly     handle zero length data request; leading to a null pointer dereference vulnerability. An attacker in a     guest VM could possibly use this to cause a denial of service (host domain crash). (CVE-2023-46838)

    It was discovered that a race condition existed in the AppleTalk networking subsystem of the Linux kernel;     leading to a use-after-free vulnerability. A local attacker could use this to cause a denial of service     (system crash) or possibly execute arbitrary code. (CVE-2023-51781)

    Alon Zahavi discovered that the NVMe-oF/TCP subsystem of the Linux kernel did not properly handle connect     command payloads in certain situations; leading to an out-of-bounds read vulnerability. A remote attacker     could use this to expose sensitive information (kernel memory). (CVE-2023-6121)

    It was discovered that the ext4 file system implementation in the Linux kernel did not properly handle the     remount operation in certain cases; leading to a use-after-free vulnerability. A local attacker could use     this to cause a denial of service (system crash) or possibly expose sensitive information. (CVE-2024-0775)

    Notselwyn discovered that the netfilter subsystem in the Linux kernel did not properly handle verdict     parameters in certain cases; leading to a use- after-free vulnerability. A local attacker could use this     to cause a denial of service (system crash) or possibly execute arbitrary code. (CVE-2024-1086)

    It was discovered that a race condition existed in the SCSI Emulex LightPulse Fibre Channel driver in the     Linux kernel when unregistering FCF and re-scanning an HBA FCF table; leading to a null pointer     dereference vulnerability. A local attacker could use this to cause a denial of service (system crash).
    (CVE-2024-24855)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-24189; CVE-2025-31257; CVE-2025-31273; CVE-2025-31278; CVE-2025-43211; CVE-2025-43212; CVE-2025-43216; CVE-2025-43227; CVE-2025-43228; CVE-2025-43240; CVE-2025-43265; CVE-2025-53057; CVE-2025-53066; CVE-2025-61748; CVE-2025-6558,na2prdjump02.tibco.com,High,7.5,"The 8u461; 11.0.28; 17.0.16; 21.0.8; 25; versions of Java installed on the remote host are affected by multiple vulnerabilities as referenced in the October 2025 CPU advisory.

  - Vulnerability in Oracle Java SE (component: JavaFX (WebKitGTK)). Supported versions that are affected are     Oracle Java SE: 8u461-b50. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE. Successful attacks require human     interaction from a person other than the attacker. Successful attacks of this vulnerability can result in     takeover of Oracle Java SE. (CVE-2025-31257)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product of     Oracle Java SE (component: Security). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation;     deletion or modification access to critical data or all Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition accessible data. (CVE-2025-53057)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product     of Oracle Java SE (component: JAXP). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Easily exploitable vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized access     to critical data or complete access to all Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM     Enterprise Edition accessible data. (CVE-2025-53066)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-59287,mgmt,Critical,9.8,"The remote Windows host is missing security update 5070884. It is; therefore; affected by a remote code execution vulnerability.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,mstaci-con-3,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2023-22809,na1devfocxbx11,High,7.8,"The remote Redhat Enterprise Linux 7 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2023:0291 advisory.

    The sudo packages contain the sudo utility which allows system administrators to provide certain users     with the permission to execute privileged commands; which are used for system management purposes; without     having to log in as root.

    Security Fix(es):

    * sudo: arbitrary file write with privileges of the RunAs user (CVE-2023-22809)

    For more details about the security issue(s); including the impact; a CVSS score; acknowledgments; and     other related information; refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-55315,mia2-ews-wpd902,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,madalins-desk01,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2024-46787; CVE-2024-50047; CVE-2024-53051; CVE-2024-56662; CVE-2025-37798; CVE-2025-37890; CVE-2025-37932; CVE-2025-37997; CVE-2025-38000; CVE-2025-38001; CVE-2025-38177,na1devwayunx01,High,7.8,"The remote Ubuntu 18.04 LTS / 20.04 LTS host has a package installed that is affected by multiple vulnerabilities as referenced in the USN-7671-1 advisory.

    Several security issues were discovered in the Linux kernel. An attacker could possibly use these to     compromise the system. This update corrects flaws in the following subsystems:

    - ACPI drivers;

    - GPU drivers;

    - SMB network file system;

    - Memory management;

    - Netfilter;

    - Network traffic control; (CVE-2024-53051; CVE-2024-46787; CVE-2024-50047; CVE-2024-56662;     CVE-2025-37890; CVE-2025-38001; CVE-2025-37997; CVE-2025-37932; CVE-2025-37798; CVE-2025-38177;     CVE-2025-38000)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,citrixprod70183,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2024-40864; CVE-2024-54533; CVE-2024-56171; CVE-2024-9681; CVE-2025-24085; CVE-2025-24097; CVE-2025-24111; CVE-2025-24126; CVE-2025-24129; CVE-2025-24131; CVE-2025-24148; CVE-2025-24157; CVE-2025-24164; CVE-2025-24170; CVE-2025-24172; CVE-2025-24173; CVE-2025-24177; CVE-2025-24178; CVE-2025-24179; CVE-2025-24181; CVE-2025-24190; CVE-2025-24195; CVE-2025-24196; CVE-2025-24198; CVE-2025-24199; CVE-2025-24203; CVE-2025-24205; CVE-2025-24206; CVE-2025-24207; CVE-2025-24210; CVE-2025-24211; CVE-2025-24212; CVE-2025-24215; CVE-2025-24228; CVE-2025-24229; CVE-2025-24230; CVE-2025-24231; CVE-2025-24232; CVE-2025-24233; CVE-2025-24234; CVE-2025-24235; CVE-2025-24236; CVE-2025-24237; CVE-2025-24238; CVE-2025-24240; CVE-2025-24241; CVE-2025-24243; CVE-2025-24244; CVE-2025-24246; CVE-2025-24247; CVE-2025-24249; CVE-2025-24250; CVE-2025-24251; CVE-2025-24252; CVE-2025-24253; CVE-2025-24254; CVE-2025-24255; CVE-2025-24256; CVE-2025-24259; CVE-2025-24260; CVE-2025-24261; CVE-2025-24265; CVE-2025-24266; CVE-2025-24267; CVE-2025-24270; CVE-2025-24271; CVE-2025-24272; CVE-2025-24273; CVE-2025-24276; CVE-2025-24277; CVE-2025-24278; CVE-2025-24279; CVE-2025-24280; CVE-2025-27113; CVE-2025-30424; CVE-2025-30429; CVE-2025-30432; CVE-2025-30433; CVE-2025-30438; CVE-2025-30443; CVE-2025-30444; CVE-2025-30445; CVE-2025-30446; CVE-2025-30447; CVE-2025-30449; CVE-2025-30450; CVE-2025-30452; CVE-2025-30454; CVE-2025-30455; CVE-2025-30456; CVE-2025-30457; CVE-2025-30460; CVE-2025-30462; CVE-2025-30464; CVE-2025-30465; CVE-2025-30470; CVE-2025-30471; CVE-2025-31182; CVE-2025-31183; CVE-2025-31187; CVE-2025-31188; CVE-2025-31189; CVE-2025-31191; CVE-2025-31194; CVE-2025-31197; CVE-2025-31198; CVE-2025-31203; CVE-2025-31261; CVE-2025-31264; CVE-2025-43205,kumars-macbook-pro.local,High,7.8,"The remote host is running a version of macOS / Mac OS X that is 14.x prior to 14.7.5. It is; therefore; affected by multiple vulnerabilities:

  - A use after free issue was addressed with improved memory management. This issue is fixed in visionOS 2.3;     iOS 18.3 and iPadOS 18.3; macOS Sequoia 15.3; watchOS 11.3; tvOS 18.3. A malicious application may be able     to elevate privileges. Apple is aware of a report that this issue may have been actively exploited against     versions of iOS before iOS 17.2. (CVE-2025-24085)

  - The issue was addressed with improved handling of protocols. This issue is fixed in macOS Ventura 13.7.5;     macOS Sonoma 14.7.5. An attacker in a privileged network position can track a user's activity.
    (CVE-2024-40864)

  - A permissions issue was addressed with additional sandbox restrictions. This issue is fixed in macOS     Ventura 13.7.5; macOS Sonoma 14.7.5. An app may be able to access sensitive user data. (CVE-2024-54533)

  - libxml2 before 2.12.10 and 2.13.x before 2.13.6 has a use-after-free in xmlSchemaIDCFillNodeTables and     xmlSchemaBubbleIDCNodeTables in xmlschemas.c. To exploit this; a crafted XML document must be validated     against an XML schema with certain identity constraints; or a crafted XML schema must be used.
    (CVE-2024-56171)

  - When curl is asked to use HSTS; the expiry time for a subdomain might overwrite a parent domain's cache     entry; making it end sooner or later than otherwise intended. This affects curl using applications that     enable HSTS and use URLs with the insecure `HTTP://` scheme and perform transfers with hosts like     `x.example.com` as well as `example.com` where the first host is a subdomain of the second host. (The HSTS     cache either needs to have been populated manually or there needs to have been previous HTTPS accesses     done as the cache needs to have entries for the domains involved to trigger this problem.) When     `x.example.com` responds with `Strict-Transport-Security:` headers; this bug can make the subdomain's     expiry timeout *bleed over* and get set for the parent domain `example.com` in curl's HSTS cache. The     result of a triggered bug is that HTTP accesses to `example.com` get converted to HTTPS for a different     period of time than what was asked for by the origin server. If `example.com` for example stops supporting     HTTPS at its expiry time; curl might then fail to access `http://example.com` until the (wrongly set)     timeout expires. This bug can also expire the parent's entry *earlier*; thus making curl inadvertently     switch back to insecure HTTP earlier than otherwise intended. (CVE-2024-9681)

Note that Nessus has not tested for these issues but has instead relied only on the operating system's self-reported version number."
CVE-2023-4527; CVE-2023-4806; CVE-2023-4813; CVE-2023-4911,na1devfocxbx02.dev.tibco.com,High,7.8,"The remote Redhat Enterprise Linux 8 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2023:5455 advisory.

    The glibc packages provide the standard C libraries (libc); POSIX thread libraries (libpthread); standard     math libraries (libm); and the name service cache daemon (nscd) used by multiple programs on the system.
    Without these libraries; the Linux system cannot function correctly.

    Security Fix(es):

    * glibc: buffer overflow in ld.so leading to privilege escalation (CVE-2023-4911)

    * glibc: Stack read overflow in getaddrinfo in no-aaaa mode (CVE-2023-4527)

    * glibc: potential use-after-free in getaddrinfo() (CVE-2023-4806)

    * glibc: potential use-after-free in gaih_inet() (CVE-2023-4813)

    For more details about the security issue(s); including the impact; a CVSS score; acknowledgments; and     other related information; refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2023-40546; CVE-2023-40547; CVE-2023-40548; CVE-2023-40549; CVE-2023-40550; CVE-2023-40551,na1devfocq01.dev.tibco.com,High,8.3,"The remote Redhat Enterprise Linux 7 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2024:1959 advisory.

    The shim package contains a first-stage UEFI boot loader that handles chaining     to a trusted full boot loader under secure boot environments.

    Security Fix(es):

    * shim: RCE in http boot support may lead to Secure Boot bypass (CVE-2023-40547)

    * shim: Interger overflow leads to heap buffer overflow in verify_sbat_section on 32-bits systems     (CVE-2023-40548)

    * shim: Out-of-bounds read printing error messages (CVE-2023-40546)

    * shim: Out-of-bounds read in verify_buffer_authenticode() malformed PE file (CVE-2023-40549)

    * shim: Out-of-bound read in verify_buffer_sbat() (CVE-2023-40550)

    * shim: out of bounds read when parsing MZ binaries (CVE-2023-40551)

    For more details about the security issue(s); including the impact; a CVSS     score; acknowledgments; and other related information; refer to the CVE page(s) listed in the References     section.

    IMPORTANT: The new shim revokes ALL VERSIONS of GRUB2 before grub2-2.02-0.87.el7_9.14. Therefore GRUB2     MUST be updated to the latest     version: grub2-2.02-0.87.el7_9.14 BEFORE or SIMULTANEOUSLY with this shim in order for Secure Boot to     continue to work. Failure to update GRUB2 will result in an UNBOOTABLE system.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-24189; CVE-2025-31257; CVE-2025-31273; CVE-2025-31278; CVE-2025-43211; CVE-2025-43212; CVE-2025-43216; CVE-2025-43227; CVE-2025-43228; CVE-2025-43240; CVE-2025-43265; CVE-2025-53057; CVE-2025-53066; CVE-2025-61748; CVE-2025-6558,na1prddsyjnk01,High,7.5,"The 8u461; 11.0.28; 17.0.16; 21.0.8; 25; versions of Java installed on the remote host are affected by multiple vulnerabilities as referenced in the October 2025 CPU advisory.

  - Vulnerability in Oracle Java SE (component: JavaFX (WebKitGTK)). Supported versions that are affected are     Oracle Java SE: 8u461-b50. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE. Successful attacks require human     interaction from a person other than the attacker. Successful attacks of this vulnerability can result in     takeover of Oracle Java SE. (CVE-2025-31257)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product of     Oracle Java SE (component: Security). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation;     deletion or modification access to critical data or all Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition accessible data. (CVE-2025-53057)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product     of Oracle Java SE (component: JAXP). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Easily exploitable vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized access     to critical data or complete access to all Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM     Enterprise Edition accessible data. (CVE-2025-53066)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-24189; CVE-2025-31257; CVE-2025-31273; CVE-2025-31278; CVE-2025-43211; CVE-2025-43212; CVE-2025-43216; CVE-2025-43227; CVE-2025-43228; CVE-2025-43240; CVE-2025-43265; CVE-2025-53057; CVE-2025-53066; CVE-2025-61748; CVE-2025-6558,na1devfocmgt02,High,7.5,"The 8u461; 11.0.28; 17.0.16; 21.0.8; 25; versions of Java installed on the remote host are affected by multiple vulnerabilities as referenced in the October 2025 CPU advisory.

  - Vulnerability in Oracle Java SE (component: JavaFX (WebKitGTK)). Supported versions that are affected are     Oracle Java SE: 8u461-b50. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE. Successful attacks require human     interaction from a person other than the attacker. Successful attacks of this vulnerability can result in     takeover of Oracle Java SE. (CVE-2025-31257)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product of     Oracle Java SE (component: Security). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation;     deletion or modification access to critical data or all Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition accessible data. (CVE-2025-53057)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product     of Oracle Java SE (component: JAXP). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Easily exploitable vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized access     to critical data or complete access to all Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM     Enterprise Edition accessible data. (CVE-2025-53066)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2024-49072; CVE-2024-49075; CVE-2024-49076; CVE-2024-49079; CVE-2024-49080; CVE-2024-49082; CVE-2024-49084; CVE-2024-49085; CVE-2024-49086; CVE-2024-49088; CVE-2024-49089; CVE-2024-49090; CVE-2024-49091; CVE-2024-49095; CVE-2024-49096; CVE-2024-49097; CVE-2024-49102; CVE-2024-49104; CVE-2024-49105; CVE-2024-49106; CVE-2024-49107; CVE-2024-49108; CVE-2024-49112; CVE-2024-49113; CVE-2024-49114; CVE-2024-49115; CVE-2024-49116; CVE-2024-49117; CVE-2024-49118; CVE-2024-49119; CVE-2024-49120; CVE-2024-49121; CVE-2024-49122; CVE-2024-49123; CVE-2024-49124; CVE-2024-49125; CVE-2024-49126; CVE-2024-49127; CVE-2024-49128; CVE-2024-49129; CVE-2024-49132; CVE-2024-49138,xenn,High,8.4,"The remote Windows host is missing security update 5048654 or hotpatch 5048800. It is; therefore; affected by multiple vulnerabilities

  - Input Method Editor (IME) Remote Code Execution Vulnerability (CVE-2024-49079)

  - Windows Common Log File System Driver Elevation of Privilege Vulnerability (CVE-2024-49090)

  - Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability (CVE-2024-49112)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-49144,guedmfttmk01,High,7.3,"The version of Notepad++ installed on the remote host is prior to 8.8.2. It is; therefore; affected by a privilege escalation vulnerability:

  - Notepad++ is a free and open-source source code editor. In versions 8.8.1 and prior; a privilege escalation     vulnerability exists in the Notepad++ v8.8.1 installer that allows unprivileged users to gain SYSTEM-level     privileges through insecure executable search paths. An attacker could use social engineering or clickjacking to     trick users into downloading both the legitimate installer and a malicious executable to the same directory     (typically Downloads folder - which is known as Vulnerable directory). Upon running the installer; the attack     executes automatically with SYSTEM privileges. This issue has been fixed and will be released in version 8.8.2.
    (CVE-2025-49144)   Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-24189; CVE-2025-31257; CVE-2025-31273; CVE-2025-31278; CVE-2025-43211; CVE-2025-43212; CVE-2025-43216; CVE-2025-43227; CVE-2025-43228; CVE-2025-43240; CVE-2025-43265; CVE-2025-53057; CVE-2025-53066; CVE-2025-61748; CVE-2025-6558,na2devkabbld01,High,7.5,"The 8u461; 11.0.28; 17.0.16; 21.0.8; 25; versions of Java installed on the remote host are affected by multiple vulnerabilities as referenced in the October 2025 CPU advisory.

  - Vulnerability in Oracle Java SE (component: JavaFX (WebKitGTK)). Supported versions that are affected are     Oracle Java SE: 8u461-b50. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE. Successful attacks require human     interaction from a person other than the attacker. Successful attacks of this vulnerability can result in     takeover of Oracle Java SE. (CVE-2025-31257)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product of     Oracle Java SE (component: Security). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation;     deletion or modification access to critical data or all Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition accessible data. (CVE-2025-53057)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product     of Oracle Java SE (component: JAXP). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Easily exploitable vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized access     to critical data or complete access to all Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM     Enterprise Edition accessible data. (CVE-2025-53066)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,dy-hv001,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2024-49072; CVE-2024-49075; CVE-2024-49076; CVE-2024-49079; CVE-2024-49080; CVE-2024-49082; CVE-2024-49084; CVE-2024-49085; CVE-2024-49086; CVE-2024-49088; CVE-2024-49089; CVE-2024-49090; CVE-2024-49091; CVE-2024-49095; CVE-2024-49096; CVE-2024-49097; CVE-2024-49102; CVE-2024-49104; CVE-2024-49105; CVE-2024-49106; CVE-2024-49107; CVE-2024-49108; CVE-2024-49112; CVE-2024-49113; CVE-2024-49114; CVE-2024-49115; CVE-2024-49116; CVE-2024-49117; CVE-2024-49118; CVE-2024-49119; CVE-2024-49120; CVE-2024-49121; CVE-2024-49122; CVE-2024-49123; CVE-2024-49124; CVE-2024-49125; CVE-2024-49126; CVE-2024-49127; CVE-2024-49128; CVE-2024-49129; CVE-2024-49132; CVE-2024-49138,mgmt,High,8.4,"The remote Windows host is missing security update 5048654 or hotpatch 5048800. It is; therefore; affected by multiple vulnerabilities

  - Input Method Editor (IME) Remote Code Execution Vulnerability (CVE-2024-49079)

  - Windows Common Log File System Driver Elevation of Privilege Vulnerability (CVE-2024-49090)

  - Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability (CVE-2024-49112)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-27613; CVE-2025-27614; CVE-2025-46835; CVE-2025-48384; CVE-2025-48385; CVE-2025-48386,eu1devbpmcjb02,High,8.6,"The remote Ubuntu 16.04 LTS / 18.04 LTS / 20.04 LTS / 22.04 LTS / 24.04 LTS / 24.10 / 25.04 host has packages installed that are affected by multiple vulnerabilities as referenced in the USN-7626-1 advisory.

    Avi Halachmi discovered that Git incorrectly managed file modification constraints with Gitk. An attacker     could possibly use this issue to create or write to arbitrary files on the system. (CVE-2025-27613)

    Avi Halachmi discovered that Git incorrectly handled arguments when invoking the Gitk utility. If a user     were tricked into cloning a malicious Git repository; an attacker could possibly use this issue to run     arbitrary commands. This issue only affected Ubuntu 24.04 LTS; Ubuntu 24.10; and Ubuntu 25.04.
    (CVE-2025-27614)

    Johannes Sixt discovered that Git incorrectly managed file modification constraints with Git GUI. If a     user were tricked into editing a file in a malicious Git repository; an attacker could possibly use this     issue to create or write to arbitrary files on the system. (CVE-2025-46835)

    David Leadbeater discovered that Git incorrectly stripped CRLF characters when editing configuration     files. An attacker could possibly use this issue to execute arbitrary code. (CVE-2025-48384)

    David Leadbeater discovered that Git incorrectly handled verification when fetching remote Git     repositories. An attacker could possibly use this issue to perform protocol injection; leading to     arbitrary code execution. This issue only affected Ubuntu 24.04 LTS; Ubuntu 24.10; and Ubuntu 25.04.
    (CVE-2025-48385)

    David Leadbeater discovered that Git incorrectly handled memory with the wincred credential helper. An     attacker could possibly use this issue to cause a denial of service. (CVE-2025-48386)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
